"Marsh_Class","veg_year","VVI","avg_salinity..ppt."
"Brackish",2006,44.0178318181818,10.9877776335715
"Fresh",2006,48.8306375,1.57782979078851
"Intermediate",2006,34.155416,6.54569851982789
"Saline",2006,47.8308405405405,19.9874369305375
"Brackish",2007,45.9557327868852,7.07637147787025
"Fresh",2007,49.4271880952381,0.739834032225156
"Intermediate",2007,45.9613604651163,3.09997061606253
"Saline",2007,51.7721910447761,15.8022881050389
"Brackish",2008,46.194715942029,6.22125947181995
"Fresh",2008,41.806638028169,0.857068811940394
"Intermediate",2008,44.2238365217391,3.75360489113124
"Saline",2008,50.1344805555556,12.7703491349189
"Brackish",2009,49.631234939759,6.78106092953773
"Fresh",2009,50.5262642857143,0.605183127098163
"Intermediate",2009,49.2160772277228,3.46611215307868
"Saline",2009,49.5552736842105,12.9604607638696
"Brackish",2010,51.489637037037,6.48660791725481
"Fresh",2010,52.955438028169,0.40978540382281
"Intermediate",2010,49.5628905263158,3.300832546512
"Saline",2010,59.9257828571429,11.1172696639655
"Brackish",2011,52.0695774193548,9.91854060338441
"Fresh",2011,52.1869513888889,0.666486431156455
"Intermediate",2011,55.5715928571429,5.54670624211773
"Saline",2011,46.6247373134328,16.0970260452295
"Brackish",2012,43.2269848837209,6.69606461184398
"Fresh",2012,45.4804909090909,0.667616867202436
"Intermediate",2012,45.3442775700935,3.60545909894654
"Saline",2012,39.4865732394366,14.7072386559513
"Brackish",2013,45.0240012345679,5.91402426054559
"Fresh",2013,45.1124578125,0.590082359075804
"Intermediate",2013,41.953081981982,2.578463680794
"Saline",2013,53.608336,13.1386761526225
"Brackish",2014,44.5452540229885,5.9090782069629
"Fresh",2014,46.5480014492754,0.403765775092455
"Intermediate",2014,41.5646548076923,2.4598097887141
"Saline",2014,47.7166549295775,13.717258657042
"Brackish",2015,45.3024139534884,5.36123583400721
"Fresh",2015,46.8032521126761,0.420643089938084
"Intermediate",2015,42.8207174311927,1.96352719194937
"Saline",2015,46.7221123076923,13.2354404222161
"Brackish",2016,42.1742987012987,3.89937084189883
"Fresh",2016,49.293232,0.335116061760346
"Intermediate",2016,38.1041276785714,1.44536183248896
"Saline",2016,52.0678939393939,10.8089311661303
"Brackish",2017,42.0953228571429,5.22512383732226
"Fresh",2017,52.2430726027397,0.383432347184118
"Intermediate",2017,48.6011050847458,1.59362783442134
"Saline",2017,47.8386352941176,12.3715090702192
"Brackish",2018,44.5105481012658,5.84905498623517
"Fresh",2018,52.1398493827161,0.345328039658019
"Intermediate",2018,50.2780954545455,2.02864297937981
"Saline",2018,42.721398245614,13.7426361293452
"Brackish",2019,47.2352276923077,3.49208125618245
"Fresh",2019,48.2581722891566,0.289846392481504
"Intermediate",2019,47.6557462264151,1.21148090844642
"Saline",2019,56.9194548387097,10.2444198404421
